ID,nper,anio,mes,region,dpto,nom_dpto,e26,e27,e30,e51_2,POBPCOAC,SUBEMPLEO,HT11,pobre06,W_ANO
34561,1,2023,1,1,1,Montevideo,2,26,1,6,2,0,55429.6,0,57
34561,2,2023,1,1,1,Montevideo,2,45,7,6,4,0,55429.6,0,57
34561,3,2023,1,1,1,Montevideo,2,7,4,1,1,0,55429.6,0,57
34678,1,2023,1,1,1,Montevideo,1,48,1,6,2,0,152958.763333333,0,54
34720,1,2023,1,1,1,Montevideo,1,58,1,6,2,0,61325.43,0,56
34720,2,2023,1,1,1,Montevideo,2,66,2,6,10,0,61325.43,0,56
34806,1,2023,1,1,1,Montevideo,2,53,1,6,2,0,213250.86,0,46
34806,2,2023,1,1,1,Montevideo,1,52,2,6,2,0,213250.86,0,46
34992,1,2023,1,1,1,Montevideo,2,68,1,6,10,0,203886.09,0,62
34992,2,2023,1,1,1,Montevideo,1,66,2,6,10,0,203886.09,0,62
34992,3,2023,1,1,1,Montevideo,2,23,3,0,2,0,203886.09,0,62
34999,1,2023,1,1,1,Montevideo,2,47,1,6,2,0,47700.6,1,96
34999,2,2023,1,1,1,Montevideo,1,20,4,6,3,0,47700.6,1,96
34999,3,2023,1,1,1,Montevideo,1,17,4,6,7,0,47700.6,1,96
34999,4,2023,1,1,1,Montevideo,2,24,4,6,4,0,47700.6,1,96
34999,5,2023,1,1,1,Montevideo,2,15,4,6,7,0,47700.6,1,96
34999,6,2023,1,1,1,Montevideo,2,13,4,6,1,0,47700.6,1,96
34999,7,2023,1,1,1,Montevideo,2,28,4,6,2,0,47700.6,1,96
34999,8,2023,1,1,1,Montevideo,1,6,11,9,1,0,47700.6,1,96
35209,1,2023,1,1,1,Montevideo,2,30,1,6,6,0,64122.68,0,72
35209,2,2023,1,1,1,Montevideo,1,33,2,6,2,0,64122.68,0,72
35209,3,2023,1,1,1,Montevideo,2,11,4,5,1,0,64122.68,0,72
35209,4,2023,1,1,1,Montevideo,1,1,3,0,1,0,64122.68,0,72
35834,1,2023,1,3,8,Florida,2,91,1,0,10,0,23376.35,0,34
35847,1,2023,1,3,8,Florida,1,51,1,4,2,0,93674.645,0,77
35847,2,2023,1,3,8,Florida,2,49,2,3,6,0,93674.645,0,77
35847,3,2023,1,3,8,Florida,2,16,3,6,11,0,93674.645,0,77
35847,4,2023,1,3,8,Florida,1,28,3,6,2,0,93674.645,0,77
35847,5,2023,1,3,8,Florida,1,20,6,6,2,0,93674.645,0,77
35847,6,2023,1,3,8,Florida,2,6,11,9,1,0,93674.645,0,77
36344,1,2023,1,2,17,Soriano,1,55,1,6,2,0,59776.35,0,54
36344,2,2023,1,2,17,Soriano,2,20,4,6,7,0,59776.35,0,54
36348,1,2023,1,2,17,Soriano,1,76,1,4,2,0,77044.05,0,49
36348,2,2023,1,2,17,Soriano,2,73,2,6,10,0,77044.05,0,49
36442,1,2023,1,3,19,Treinta y Tres,2,64,1,6,2,0,32176.35,0,19
36551,1,2023,2,1,1,Montevideo,2,47,1,6,8,0,196531.666666667,0,73
36551,2,2023,2,1,1,Montevideo,1,48,2,6,2,0,196531.666666667,0,73
36551,3,2023,2,1,1,Montevideo,1,14,3,6,7,0,196531.666666667,0,73
36623,1,2023,2,1,1,Montevideo,1,45,1,6,2,0,27000,0,58
36677,1,2023,2,1,1,Montevideo,1,73,1,6,2,0,166230,0,81
36677,2,2023,2,1,1,Montevideo,2,66,2,6,2,0,166230,0,81
36677,3,2023,2,1,1,Montevideo,1,48,6,6,2,0,166230,0,81
36677,4,2023,2,1,1,Montevideo,2,42,4,6,2,0,166230,0,81
36677,5,2023,2,1,1,Montevideo,2,8,11,2,1,0,166230,0,81
36677,6,2023,2,1,1,Montevideo,2,5,11,9,1,0,166230,0,81
36720,1,2023,2,1,1,Montevideo,1,39,1,6,2,0,126730,0,79
36720,2,2023,2,1,1,Montevideo,2,39,2,6,6,0,126730,0,79
36720,3,2023,2,1,1,Montevideo,1,13,5,6,1,0,126730,0,79
36720,4,2023,2,1,1,Montevideo,2,8,3,2,1,0,126730,0,79
36776,1,2023,2,1,1,Montevideo,1,27,1,6,11,0,36182.5,0,68
36776,2,2023,2,1,1,Montevideo,2,83,12,2,9,0,36182.5,0,68
36842,1,2023,2,1,1,Montevideo,2,47,1,6,2,0,47919.5,1,64
36842,2,2023,2,1,1,Montevideo,2,22,4,6,2,0,47919.5,1,64
36842,3,2023,2,1,1,Montevideo,1,13,4,6,1,0,47919.5,1,64
36859,1,2023,2,1,1,Montevideo,1,54,1,6,2,0,121682.5,0,39
37251,1,2023,2,3,3,Canelones,2,67,1,6,9,0,72428.9,0,51
37251,2,2023,2,3,3,Canelones,1,55,2,6,2,0,72428.9,0,51
37262,1,2023,2,3,3,Canelones,2,44,1,6,6,0,116893.35,0,124
37262,2,2023,2,3,3,Canelones,1,44,2,6,2,0,116893.35,0,124
37262,3,2023,2,3,3,Canelones,2,23,3,6,7,0,116893.35,0,124
37262,4,2023,2,3,3,Canelones,1,16,3,6,7,0,116893.35,0,124
37409,1,2023,2,2,3,Canelones,1,61,1,6,2,1,50928.9,0,62
37409,2,2023,2,2,3,Canelones,2,71,2,6,10,0,50928.9,0,62
37451,1,2023,2,2,3,Canelones,2,26,1,6,7,0,47131.1166666667,0,36
37555,1,2023,2,2,5,Colonia,1,32,1,6,2,0,77432.9,0,81
37555,2,2023,2,2,5,Colonia,2,25,2,6,2,0,77432.9,0,81
37741,1,2023,2,3,9,Lavalleja,2,51,1,6,6,0,74621.3,0,31
37741,2,2023,2,3,9,Lavalleja,1,56,2,6,2,0,74621.3,0,31
37741,3,2023,2,3,9,Lavalleja,2,22,3,6,7,0,74621.3,0,31
37879,1,2023,2,2,11,Paysandú,2,32,1,6,2,0,31002.88,1,79
37879,2,2023,2,2,11,Paysandú,2,8,4,2,1,0,31002.88,1,79
37879,3,2023,2,2,11,Paysandú,2,7,4,1,1,0,31002.88,1,79
37989,1,2023,2,2,13,Rivera,2,70,1,6,10,0,22564.45,0,31
38058,1,2023,2,2,14,Rocha,2,82,1,6,10,0,90078.9,0,68
38058,2,2023,2,2,14,Rocha,1,44,4,6,2,0,90078.9,0,68
38243,1,2023,2,2,18,Tacuarembó,1,66,1,6,10,0,146928.9,0,50
38243,2,2023,2,2,18,Tacuarembó,2,63,2,6,6,0,146928.9,0,50
38511,1,2023,3,1,1,Montevideo,2,63,1,6,9,0,37894.61,0,31
38765,1,2023,3,1,1,Montevideo,1,38,1,6,2,0,70583.83,0,72
38765,2,2023,3,1,1,Montevideo,2,35,2,6,2,0,70583.83,0,72
38765,3,2023,3,1,1,Montevideo,1,0,3,0,1,0,70583.83,0,72
38827,1,2023,3,1,1,Montevideo,2,74,1,6,10,0,78789.22,0,57
38827,2,2023,3,1,1,Montevideo,1,75,2,6,10,0,78789.22,0,57
38864,1,2023,3,1,1,Montevideo,2,49,1,6,2,1,90683.83,0,85
38864,2,2023,3,1,1,Montevideo,1,43,2,6,2,0,90683.83,0,85
38864,3,2023,3,1,1,Montevideo,1,18,5,6,7,0,90683.83,0,85
38864,4,2023,3,1,1,Montevideo,1,20,4,6,2,1,90683.83,0,85
38980,1,2023,3,1,1,Montevideo,2,51,1,6,2,0,449061.276666667,0,52
